DataGarrison Station - IMEI: 300534066096200
Time zone: UTC-360 minutes (Daylight Savings not considered in this live file.)
Date_Time	Wind Speed_21491169_mph	Gust Speed_21491169_mph	Wind Direction_21491169_deg	Temperature_MOD_14_0_deg_F	RH_MOD_14_1b_%	Pressure_MOD_14_2_mb	Light_MOD_14_4_lux	
12/30/25 00:00:00	25.286	43.597	2.808	14.558	63.160	640.320	3.940
12/30/25 01:00:00	30.954	44.033	353.788	15.548	58.330	639.820	3.940
12/30/25 02:00:00	23.978	37.929	336.941	14.288	59.880	640.160	1.970
12/30/25 03:00:00	11.335	21.362	315.882	19.994	55.060	640.420	1.970
12/30/25 04:00:00	5.668	14.823	304.651	22.280	50.410	640.600	0.000
12/30/25 05:00:00	10.463	16.131	327.114	22.514	50.310	640.600	0.000
12/30/25 06:00:00	9.155	15.695	334.133	20.822	55.450	640.820	0.000
12/30/25 07:00:00	11.335	22.670	313.075	16.358	58.500	640.820	0.000
12/30/25 08:00:00	15.259	23.542	324.306	15.620	50.650	640.880	817.480
12/30/25 09:00:00	16.567	25.286	334.133	16.592	44.100	640.760	430421.960
12/30/25 10:00:00	15.259	25.286	342.557	17.294	43.830	641.120	1433329.280
12/30/25 11:00:00	12.207	21.362	334.133	19.076	48.710	641.400	2185509.760
12/30/25 12:00:00	14.823	26.158	343.961	21.398	54.970	641.300	2913426.240
12/30/25 13:00:00	15.695	22.670	348.173	21.344	51.290	640.960	1279657.920
12/30/25 14:00:00	16.131	23.106	346.769	21.956	50.990	640.720	1198778.400
12/30/25 15:00:00	9.591	17.875	336.941	24.512	50.980	640.200	992535.360
12/30/25 16:00:00	10.899	27.030	345.365	22.784	52.770	639.940	3673694.720
12/30/25 17:00:00	15.259	24.414	343.961	23.576	55.410	640.140	3350176.320
12/30/25 18:00:00	7.847	22.670	275.169	24.512	53.330	640.400	24633.760
12/30/25 19:00:00	5.232	14.387	327.114	24.998	51.430	640.780	1.970
12/30/25 20:00:00	6.975	13.951	289.208	24.062	56.060	641.020	1.970
12/30/25 21:00:00	8.719	19.183	327.114	26.114	57.660	640.700	3.940
12/30/25 22:00:00	5.232	18.747	203.569	22.028	60.640	640.560	3.940
12/30/25 23:00:00	17.875	27.030	350.980	21.038	60.990	640.520	1.970
12/31/25 00:00:00	13.079	21.798	329.922	24.080	66.480	640.760	5.920
12/31/25 01:00:00	3.924	11.335	7.020	23.378	65.510	640.200	5.920
12/31/25 02:00:00	9.155	17.875	348.173	23.000	66.040	640.140	5.920
12/31/25 03:00:00	14.823	29.646	338.345	25.340	60.290	639.860	3.940
12/31/25 04:00:00	14.387	26.594	335.537	26.924	57.790	639.800	3.940
12/31/25 05:00:00	16.131	26.594	335.537	26.960	58.310	639.540	0.000
12/31/25 06:00:00	18.311	27.030	346.769	27.320	55.950	639.200	0.000
12/31/25 07:00:00	20.926	27.902	335.537	32.000	55.840	639.320	0.000
12/31/25 08:00:00	20.490	30.082	332.729	27.500	55.970	639.420	604.220
12/31/25 09:00:00	20.490	30.082	343.961	26.294	60.550	639.060	426378.000
12/31/25 10:00:00	18.747	30.082	343.961	27.194	57.570	639.900	1117898.720
12/31/25 11:00:00	15.259	26.594	334.133	32.000	53.960	640.120	1959046.720
12/31/25 12:00:00	16.567	23.978	327.114	26.564	51.470	639.760	2622259.680
12/31/25 13:00:00	8.283	20.926	329.922	27.824	52.590	639.340	1142162.640
12/31/25 14:00:00	6.975	13.515	343.961	28.742	53.820	638.780	1061283.040
12/31/25 15:00:00	8.283	16.567	336.941	27.518	55.620	638.660	915699.680
12/31/25 16:00:00	7.411	15.695	327.114	27.824	51.610	638.620	3253120.640
